Program,CatNo,L1,L2,L3,L4
Capital One,Cat1,Agent,Agent Behaviour,Account Documentation,Wrong Documentation by Rep
Capital One,Cat2,Agent,Agent Behaviour,Active Listening,Rep Listening Issues
Capital One,Cat3,Agent,Agent Behaviour,Unprofessionalism,Rep Hung up the call
Capital One,Cat4,Agent,Agent Behaviour,Convey Ownership,No Call Back
Capital One,Cat5,Agent,Agent Behaviour,Convey Ownership,No Follow-up
Capital One,Cat6,Agent,Agent Behaviour,Convey Ownership,No Ownership by Rep
Capital One,Cat7,Agent,Agent Behaviour,Convey Ownership,Promised Not fulfilled
Capital One,Cat8,Agent,Agent Behaviour,Unprofessionalism,Dishonest Rep
Capital One,Cat9,Agent,Agent Behaviour,Unprofessionalism,No patience
Capital One,Cat10,Agent,Agent Behaviour,Unprofessionalism,Rep Did Not Acknowledge
Capital One,Cat11,Agent,Agent Behaviour,Unprofessionalism,Rep Not accommodating / Argumentative
Capital One,Cat12,Agent,Agent Behaviour,Unprofessionalism,No Attention by Rep
Capital One,Cat13,Agent,Agent Behaviour,Unprofessionalism,Excessive Talking by Rep
Capital One,Cat14,Agent,Agent Behaviour,Unprofessionalism,No empathy by Rep
Capital One,Cat15,Agent,Agent Behaviour,Unprofessionalism,Rep In Rush
Capital One,Cat16,Agent,Agent Behaviour,Unprofessionalism,Rep Interrupting Customer
Capital One,Cat17,Agent,Agent Behaviour,Unprofessionalism,Rep not helpful
Capital One,Cat18,Agent,Agent Behaviour,Unprofessionalism,Rude - Rep
Capital One,Cat19,Agent,Agent Behaviour,Unprofessionalism,Unprofessional - Rep
Capital One,Cat20,Agent,Agent Behaviour,Unprofessionalism,Rep Mocking customer
Capital One,Cat21,Agent,Agent Behaviour,Unprofessionalism,Rep Yawning / Sleeping
Capital One,Cat22,Agent,Agent Behaviour,Unprofessionalism,Pushy Sales
Capital One,Cat23,Agent,Agent Behaviour,Unprofessionalism,Rep Using Jargon
Capital One,Cat24,Agent,Agent Communication,Dead Air on call,Dead Air on call
Capital One,Cat25,Agent,Agent Communication,Fluency,Language Barrier
Capital One,Cat26,Agent,Agent Communication,Fluency,Rep Accent Issues
Capital One,Cat27,Agent,Agent Communication,Pronunciation,Communication problem
Capital One,Cat28,Agent,Agent Communication,Pronunciation,Rep Pronunciation Issue
Capital One,Cat29,Agent,Agent Communication,Rate of Speech,Rate of Speech
Capital One,Cat30,Agent,Agent Communication,Voice Tone,Rep Laughing / Shout on call
Capital One,Cat31,Agent,Agent Communication,Voice Tone,Voice tone issue
Capital One,Cat32,Agent,Agent Communication,Understanding,Comprehension issue
Capital One,Cat33,Agent,Agent Communication,Understanding,Hard to Understand
Capital One,Cat34,Agent,Agent Communication,Vocabulary,Rep Could Not Explain
Capital One,Cat35,Agent,Agent Communication,Voice Tone,Rep Sound Robotic
Capital One,Cat36,Agent,Agent Knowledge,Call Transfer,Connected / Transfer to Wrong Department
Capital One,Cat37,Agent,Agent Knowledge,Lack of Knowledge,Inconsistent information shared by Rep
Capital One,Cat38,Agent,Agent Knowledge,Lack of Knowledge,Rep Provided Incomplete Explanation
Capital One,Cat39,Agent,Agent Knowledge,Lack of Knowledge,Rep share wrong / incomplete information
Capital One,Cat40,Agent,Agent Knowledge,Call Transfer,Call Transfer Issue
Capital One,Cat41,Agent,Agent Knowledge,Lack of Knowledge,Standard / Scripted Response by Rep
Capital One,Cat42,Agent,Agent Knowledge,Lack of Knowledge,Rep Asking Irrelevant Questions
Capital One,Cat43,Agent,Agent Knowledge,Lack of Knowledge,Rep had No Knowledge
Capital One,Cat44,Agent,Agent Knowledge,Lack of Knowledge,Long Hold / Long Wait on call / Chat
Capital One,Cat45,Agent,Agent Knowledge,Lack of Knowledge,Multiple Holds
Capital One,Cat46,Agent,Agent Knowledge,Traning,Rep Need Training
Capital One,Cat47,Positive Feedback,Appreciating Agent,Agent Behaviour,Calm Rep
Capital One,Cat48,Positive Feedback,Appreciating Agent,Agent Behaviour,Empathetic Rep
Capital One,Cat49,Positive Feedback,Appreciating Agent,Agent Behaviour,Friendly Rep
Capital One,Cat50,Positive Feedback,Appreciating Agent,Agent Behaviour,Good Attention by Rep
Capital One,Cat51,Positive Feedback,Appreciating Agent,Agent Behaviour,Helpful Rep
Capital One,Cat52,Positive Feedback,Appreciating Agent,Agent Behaviour,Kind Rep
Capital One,Cat53,Positive Feedback,Appreciating Agent,Agent Behaviour,Nice Rep
Capital One,Cat54,Positive Feedback,Appreciating Agent,Agent Behaviour,Patient Rep
Capital One,Cat55,Positive Feedback,Appreciating Agent,Agent Behaviour,Pleasant Rep
Capital One,Cat56,Positive Feedback,Appreciating Agent,Agent Behaviour,Polite Rep
Capital One,Cat57,Positive Feedback,Appreciating Agent,Agent Behaviour,Professional Rep
Capital One,Cat58,Positive Feedback,Appreciating Agent,Agent Behaviour,Good Listening Skills
Capital One,Cat59,Positive Feedback,Appreciating Agent,Agent Communication,Quick / Prompt Rep
Capital One,Cat60,Positive Feedback,Appreciating Agent,Agent Communication,Clear Explanation by Rep
Capital One,Cat61,Positive Feedback,Appreciating Agent,Agent Communication,Excellent communication
Capital One,Cat62,Positive Feedback,Appreciating Agent,Agent Communication,Excellent tone
Capital One,Cat63,Positive Feedback,Appreciating Agent,Agent Behaviour,Excellent Rep
Capital One,Cat64,Positive Feedback,Appreciating Agent,Agent Knowledge,Rep has Clear Understanding
Capital One,Cat65,Positive Feedback,Appreciating Agent,Agent Knowledge,Knowledgeable Rep
